time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-10T01:24:44.371Z,-16.3201,167.4974,10,4.6,mb,,161,0.913,1.13,us,us7000h24k,2022-04-14T23:33:02.040Z,"25 km SSE of Lakatoro, Vanuatu",earthquake,10.2,1,0.224,7,reviewed,us,us
2022-04-09T20:52:37.344Z,-16.3181,166.8507,10,6.3,mww,,33,0.93,0.88,us,us7000h0yj,2022-04-10T20:57:42.406Z,"64 km WSW of Norsup, Vanuatu",earthquake,5.6,1.7,0.038,68,reviewed,us,us
2022-04-09T19:35:14.119Z,-22.9049,171.537,22.96,5,mww,,64,3.786,0.91,us,us7000h0y5,2022-04-09T20:17:25.040Z,southeast of the Loyalty Islands,earthquake,8.9,4.5,0.098,10,reviewed,us,us
2022-04-09T15:11:23.960Z,-13.9234,167.3699,192.89,4.3,mb,,90,1.523,0.74,us,us7000h1vd,2022-04-16T19:05:46.040Z,"20 km WSW of Sola, Vanuatu",earthquake,6.6,6.2,0.108,27,reviewed,us,us
2022-04-08T19:40:51.660Z,-14.9859,167.5069,111.01,5,mb,,179,0.544,0.65,us,us7000h0su,2022-04-08T20:53:46.808Z,"47 km E of Port-Olry, Vanuatu",earthquake,11.4,6.7,0.109,27,reviewed,us,us
2022-04-07T02:08:30.687Z,-10.7732,166.1261,35,4.5,mb,,77,4.762,0.78,us,us7000h1su,2022-04-17T23:13:32.040Z,"36 km E of Lata, Solomon Islands",earthquake,6.1,2,0.204,8,reviewed,us,us
2022-04-06T22:44:09.640Z,-11.807,166.7016,180.82,4.4,mb,,145,3.651,0.56,us,us7000h1sf,2022-04-29T23:46:01.040Z,"155 km SE of Lata, Solomon Islands",earthquake,11.7,5.5,0.12,20,reviewed,us,us
2022-04-06T19:07:32.434Z,-22.5141,170.3045,10,4.2,mb,,117,2.643,1.12,us,us7000h1sa,2022-04-13T18:45:30.040Z,"272 km ESE of Tadine, New Caledonia",earthquake,6.4,1.9,0.186,8,reviewed,us,us
2022-04-06T02:49:54.514Z,-22.9824,170.3244,10,4.1,mb,,182,2.681,0.93,us,us7000h1sm,2022-04-30T00:16:26.040Z,"292 km E of Vao, New Caledonia",earthquake,9.3,2,0.3,3,reviewed,us,us
2022-04-06T02:09:18.586Z,-22.9597,170.4331,10,4.6,mb,,132,2.777,0.83,us,us7000h1rf,2022-04-30T00:24:53.040Z,southeast of the Loyalty Islands,earthquake,9.3,1.8,0.183,9,reviewed,us,us
