time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-15T22:09:58.466Z,-20.4774,-178.37,573.49,4.2,mb,,167,4.338,0.54,us,us6000hfal,2022-04-24T04:07:40.040Z,Fiji region,earthquake,14.6,9.2,0.175,9,reviewed,us,us
2022-04-15T07:05:45.242Z,-17.6906,-178.5019,587.81,4.3,mb,,170,3.284,0.79,us,us6000hfa0,2022-04-24T06:22:08.040Z,"234 km E of Levuka, Fiji",earthquake,15.7,10,0.177,9,reviewed,us,us
2022-04-15T05:17:30.817Z,-23.6868,-179.9138,529.22,4.3,mb,,76,6.21,0.65,us,us6000hf9x,2022-04-24T06:00:26.040Z,south of the Fiji Islands,earthquake,17.1,11.8,0.147,14,reviewed,us,us
2022-04-15T04:47:58.956Z,-20.6906,-175.3339,10,4.9,mb,,116,6.901,1,us,us6000hf9v,2022-04-21T22:58:59.040Z,Tonga,earthquake,8.3,1.9,0.079,53,reviewed,us,us
2022-04-14T23:46:19.505Z,-17.5905,-172.7817,10,4.6,mb,,146,6.085,0.77,us,us7000h2dj,2022-04-25T21:42:22.040Z,"173 km NE of Neiafu, Tonga",earthquake,3.9,1.9,0.084,42,reviewed,us,us
2022-04-14T19:49:37.436Z,-18.0302,-178.106,626.72,4.1,mb,,133,3.668,0.77,us,us7000h3kk,2022-04-20T21:39:20.040Z,"272 km E of Levuka, Fiji",earthquake,16.3,8.6,0.084,39,reviewed,us,us
2022-04-14T07:26:09.555Z,-22.7852,-179.0196,568.81,4.4,mb,,108,5.718,0.38,us,us7000h23r,2022-04-14T07:51:53.040Z,south of the Fiji Islands,earthquake,15.8,9.8,0.112,23,reviewed,us,us
2022-04-14T07:03:34.915Z,-25.2157,-175.3758,10,5.5,mww,,69,4.623,0.76,us,us7000h23k,2022-04-15T07:06:39.992Z,south of Tonga,earthquake,9.4,1.9,0.062,25,reviewed,us,us
2022-04-14T03:18:31.882Z,-20.9496,-178.3746,432.2,4.2,mb,,123,4.64,0.76,us,us7000h3k0,2022-04-21T23:26:00.040Z,Fiji region,earthquake,15.5,8.2,0.167,10,reviewed,us,us
2022-04-14T01:25:25.747Z,-24.0246,179.2572,518.45,4.3,mb,,132,6.349,0.94,us,us7000h3jy,2022-04-21T03:02:30.040Z,south of the Fiji Islands,earthquake,14.5,8.6,0.129,17,reviewed,us,us
2022-04-14T00:22:23.588Z,-33.7932,-179.7344,77.67,4.6,mb,,203,4.084,0.28,us,us7000h3jv,2022-04-29T03:17:48.040Z,south of the Kermadec Islands,earthquake,13.4,10.8,0.222,6,reviewed,us,us
2022-04-13T15:39:25.388Z,-30.4928,-177.8243,124.25,4.4,mb,,211,1.229,1.01,us,us7000h3d6,2022-04-27T23:28:35.040Z,"Kermadec Islands, New Zealand",earthquake,13.6,10.3,0.203,7,reviewed,us,us
2022-04-13T10:29:09.463Z,-22.4889,-179.4429,574.68,4.4,mb,,121,5.273,0.71,us,us7000h1pr,2022-04-24T05:35:09.040Z,south of the Fiji Islands,earthquake,12.5,8.7,0.078,48,reviewed,us,us
2022-04-12T09:37:54.247Z,-37.3032,179.6123,10,4.4,mb,,214,1.071,0.77,us,us7000h1g6,2022-04-12T10:08:40.040Z,"205 km NE of Gisborne, New Zealand",earthquake,7.5,2,0.156,14,reviewed,us,us
2022-04-12T08:33:54.447Z,-17.1189,-174.9844,264.75,4.8,mb,,52,4.115,1.09,us,us7000h1fv,2022-04-12T08:49:12.040Z,"180 km SW of Hihifo, Tonga",earthquake,10.1,7.6,0.093,36,reviewed,us,us
2022-04-12T05:50:55.704Z,-14.7932,-174.0058,35.65,4.1,mb,,121,2.327,0.49,us,us7000h295,2022-04-19T07:46:28.040Z,"130 km N of Hihifo, Tonga",earthquake,5.8,9.2,0.165,12,reviewed,us,us
2022-04-12T03:23:43.552Z,-17.7156,-178.581,564.89,4.1,mb,,112,3.208,0.9,us,us7000h1el,2022-04-18T23:53:39.040Z,"226 km E of Levuka, Fiji",earthquake,13.6,7.2,0.077,46,reviewed,us,us
2022-04-12T02:39:27.585Z,-23.725,-176.7983,136.27,4.7,mb,,99,5.605,0.62,us,us7000h298,2022-04-18T04:52:39.040Z,south of the Fiji Islands,earthquake,7.6,6.2,0.123,20,reviewed,us,us
2022-04-12T01:58:36.249Z,-30.0141,-178.1837,96.8,4.4,mb,,139,0.783,0.38,us,us7000h292,2022-04-18T04:35:30.040Z,,earthquake,5.5,7.5,0.22,10,reviewed,us,us
2022-04-11T22:32:49.451Z,-20.447,-177.9355,537.16,4.3,mb,,123,4.649,0.69,us,us7000h28n,2022-04-27T00:58:04.040Z,"293 km WNW of Haveluloto, Tonga",earthquake,12.1,9.7,0.138,15,reviewed,us,us
2022-04-11T22:27:55.862Z,-24.7829,-177.2615,129,5.1,mww,,41,4.5,1.15,us,us7000h1dj,2022-04-26T04:34:21.040Z,south of the Fiji Islands,earthquake,9.1,4.1,0.086,13,reviewed,us,us
2022-04-11T21:50:25.682Z,-26.0155,179.2782,495.65,4,mb,,151,4.078,0.87,us,us7000h28r,2022-04-26T02:43:11.040Z,south of the Fiji Islands,earthquake,13.8,14,0.164,13,reviewed,us,us
2022-04-11T21:03:31.224Z,-15.2232,-172.876,10,4.8,mb,,124,1.681,0.87,us,us7000h28j,2022-04-26T00:50:28.040Z,"127 km NE of Hihifo, Tonga",earthquake,9.2,1.9,0.085,43,reviewed,us,us
2022-04-11T20:44:10.547Z,-17.9281,-178.3544,550,4,mb,,109,3.427,0.51,us,us7000h28i,2022-04-15T18:58:03.040Z,"247 km E of Levuka, Fiji",earthquake,15.9,5.3,0.081,41,reviewed,us,us
2022-04-11T19:32:57.088Z,-16.9455,-177.0152,10,4.3,mb,,120,4.777,0.81,us,us7000h28e,2022-04-15T22:59:59.040Z,Fiji region,earthquake,11.9,0.8,0.202,7,reviewed,us,us
2022-04-11T19:31:21.158Z,-16.6973,-177.1083,10,4.5,mb,,123,2.568,0.87,us,us7000h28d,2022-04-15T22:33:28.040Z,"285 km SSE of Alo, Wallis and Futuna",earthquake,9.7,1.8,0.098,31,reviewed,us,us
2022-04-11T19:15:36.230Z,-16.7554,-177.2039,10,5.2,mb,,115,2.589,1.4,us,us7000h1bs,2022-04-15T21:51:15.040Z,"287 km SSE of Alo, Wallis and Futuna",earthquake,9.4,1.8,0.049,137,reviewed,us,us
