"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","strTime","Month","Day","Year","DailyS","CumulativeS"
2022-04-06 19:07:32,-22.5141,170.3045,10,4.2,"mb",NA,117,2.643,1.12,"us","us7000h1sa",2022-04-13 18:45:30,"272 km ESE of Tadine, New Caledonia","earthquake",6.4,1.9,0.186,8,"reviewed","us","us","04/06/22 19:07:32",4,6,2022,68852,8276852
2022-04-06 02:49:54,-22.9824,170.3244,10,4.1,"mb",NA,182,2.681,0.93,"us","us7000h1sm",2022-04-30 00:16:26,"292 km E of Vao, New Caledonia","earthquake",9.3,2,0.3,3,"reviewed","us","us","04/06/22 02:49:54",4,6,2022,10194,8218194
2022-04-06 02:09:18,-22.9597,170.4331,10,4.6,"mb",NA,132,2.777,0.83,"us","us7000h1rf",2022-04-30 00:24:53,"southeast of the Loyalty Islands","earthquake",9.3,1.8,0.183,9,"reviewed","us","us","04/06/22 02:09:18",4,6,2022,7758,8215758
2022-04-06 01:32:00,-22.4827,170.7166,10,4.6,"mb",NA,175,3.025,0.68,"us","us7000h1sl",2022-04-30 00:42:50,"southeast of the Loyalty Islands","earthquake",9.2,2,0.193,8,"reviewed","us","us","04/06/22 01:32:00",4,6,2022,5520,8213520
2022-04-05 15:37:20,-14.0979,167.1388,159.72,4.5,"mb",NA,104,1.342,0.33,"us","us7000h0qy",2022-04-13 18:42:26,"50 km WSW of Sola, Vanuatu","earthquake",11.7,6.5,0.163,14,"reviewed","us","us","04/05/22 15:37:20",4,5,2022,56240,8177840
2022-04-05 03:51:32,-17.3681,165.6578,10,4.5,"mb",NA,66,2.418,0.9,"us","us7000h0qc",2022-04-14 00:32:48,"234 km SW of Lakatoro, Vanuatu","earthquake",6.1,1.9,0.192,11,"reviewed","us","us","04/05/22 03:51:32",4,5,2022,13892,8135492
2022-04-05 00:46:08,-22.5166,170.3936,10,4.8,"mb",NA,69,2.725,0.91,"us","us7000gzq4",2022-04-12 03:34:41,"280 km ESE of Tadine, New Caledonia","earthquake",4.8,1.8,0.083,45,"reviewed","us","us","04/05/22 00:46:08",4,5,2022,2768,8124368
2022-04-04 16:06:57,-17.4723,167.8625,31,6,"mww",NA,32,2.11,0.82,"us","usd000h551",2022-04-13 13:43:36,"56 km WNW of Port-Vila, Vanuatu","earthquake",6.9,1.8,0.046,45,"reviewed","us","us","04/04/22 16:06:57",4,4,2022,58017,8093217
2022-04-04 14:00:00,-21.9019,170.257,10,4.5,"mb",NA,200,2.698,0.66,"us","us7000h0nt",2022-04-12 13:28:09,"249 km E of Tadine, New Caledonia","earthquake",7.1,2,0.131,17,"reviewed","us","us","04/04/22 14:00:00",4,4,2022,50400,8085600
2022-04-04 13:43:14,-22.0363,170.2586,10,4.5,"mb",NA,151,2.666,0.62,"us","us7000h0ns",2022-04-12 13:15:31,"251 km ESE of Tadine, New Caledonia","earthquake",11.3,1.9,0.14,18,"reviewed","us","us","04/04/22 13:43:14",4,4,2022,49394,8084594
2022-04-04 06:48:13,-23.0319,170.5388,10,4.7,"mb",NA,114,2.883,0.51,"us","us7000gzi8",2022-04-04 07:11:35,"southeast of the Loyalty Islands","earthquake",10.4,1.9,0.137,16,"reviewed","us","us","04/04/22 06:48:13",4,4,2022,24493,8059693
2022-04-04 00:03:31,-22.439,169.9571,10,4.5,"mb",NA,74,2.327,0.57,"us","us7000gzgv",2022-04-19 04:27:38,"236 km ESE of Tadine, New Caledonia","earthquake",8.9,1.9,0.144,14,"reviewed","us","us","04/04/22 00:03:31",4,4,2022,211,8035411
2022-04-03 23:46:26,-22.4674,170.0841,10,4.5,"mb",NA,83,2.442,0.64,"us","us7000gzgs",2022-04-19 04:25:24,"249 km ESE of Tadine, New Caledonia","earthquake",9.1,1.9,0.136,16,"reviewed","us","us","04/03/22 23:46:26",4,3,2022,85586,8034386
2022-04-03 22:39:53,-22.7063,171.0918,10,4.3,"mb",NA,102,3.368,0.84,"us","us7000h0gm",2022-04-12 02:18:21,"southeast of the Loyalty Islands","earthquake",9.1,1.9,0.218,6,"reviewed","us","us","04/03/22 22:39:53",4,3,2022,81593,8030393
2022-04-03 20:06:17,-22.4731,170.1677,10,4.6,"mb",NA,85,2.519,1.02,"us","us7000h0gd",2022-04-15 21:10:17,"257 km ESE of Tadine, New Caledonia","earthquake",7.6,1.9,0.117,22,"reviewed","us","us","04/03/22 20:06:17",4,3,2022,72377,8021177
2022-04-03 18:44:29,-22.7765,170.0847,10,4.8,"mww",NA,185,2.441,0.51,"us","us7000gzeu",2022-04-03 19:23:08,"264 km ESE of Tadine, New Caledonia","earthquake",7.5,1.9,0.098,10,"reviewed","us","us","04/03/22 18:44:29",4,3,2022,67469,8016269
2022-04-03 18:32:29,-22.9375,170.0666,10,4.8,"mb",NA,93,2.439,0.96,"us","us7000gzez",2022-04-03 20:22:01,"265 km E of Vao, New Caledonia","earthquake",8.6,1.9,0.1,31,"reviewed","us","us","04/03/22 18:32:29",4,3,2022,66749,8015549
2022-04-03 15:40:28,-22.8756,170.0336,10,4.9,"mb",NA,108,2.402,0.75,"us","us7000h0g4",2022-04-11 13:31:19,"261 km E of Vao, New Caledonia","earthquake",9.2,1.8,0.08,52,"reviewed","us","us","04/03/22 15:40:28",4,3,2022,56428,8005228
2022-04-03 15:02:38,-21.9091,170.0202,12.12,4.6,"mb",NA,111,2.484,0.46,"us","us7000h0gg",2022-04-10 21:17:56,"224 km E of Tadine, New Caledonia","earthquake",10,5.1,0.244,7,"reviewed","us","us","04/03/22 15:02:38",4,3,2022,54158,8002958
2022-04-03 14:54:20,-22.8955,170.1639,10,4.7,"mb",NA,123,2.524,0.39,"us","us7000h0gf",2022-04-10 21:00:04,"275 km E of Vao, New Caledonia","earthquake",6.6,1.9,0.166,16,"reviewed","us","us","04/03/22 14:54:20",4,3,2022,53660,8002460
2022-04-03 13:13:13,-22.7772,170.183,10,4.4,"mb",NA,124,2.532,0.35,"us","us7000h0fz",2022-04-10 19:23:33,"273 km ESE of Tadine, New Caledonia","earthquake",15,1.9,0.241,6,"reviewed","us","us","04/03/22 13:13:13",4,3,2022,47593,7996393
2022-04-03 13:00:29,-22.6694,170.3769,5.39,4.2,"mb",NA,105,2.707,0.21,"us","us7000h0g9",2022-04-10 15:08:51,"286 km ESE of Tadine, New Caledonia","earthquake",11.1,6.4,0.176,11,"reviewed","us","us","04/03/22 13:00:29",4,3,2022,46829,7995629
2022-04-02 23:06:23,-22.5751,170.8928,10,4.9,"mb",NA,111,3.185,0.68,"us","us7000gz9t",2022-04-30 02:45:23,"southeast of the Loyalty Islands","earthquake",9,1.8,0.099,32,"reviewed","us","us","04/02/22 23:06:23",4,2,2022,83183,7945583
2022-04-02 23:04:56,-22.9075,170.5032,10,4.2,"mb",NA,107,2.836,0.39,"us","us7000h0ea",2022-04-30 02:55:40,"southeast of the Loyalty Islands","earthquake",6.5,1.9,0.215,6,"reviewed","us","us","04/02/22 23:04:56",4,2,2022,83096,7945496
2022-04-02 22:21:48,-22.917,170.72,10,4.5,"mb",NA,114,3.036,0.75,"us","us7000h0e7",2022-04-30 03:10:09,"southeast of the Loyalty Islands","earthquake",7.5,1.9,0.22,6,"reviewed","us","us","04/02/22 22:21:48",4,2,2022,80508,7942908
2022-04-02 18:45:00,-22.688,170.5432,9,5.6,"mww",NA,80,2.861,0.75,"us","us7000gz8x",2022-04-30 16:32:00,"southeast of the Loyalty Islands","earthquake",6.5,1.8,0.051,37,"reviewed","us","us","04/02/22 18:45:00",4,2,2022,67500,7929900
2022-04-02 16:23:37,-22.8487,170.7817,10,4.3,"mb",NA,70,3.088,1.11,"us","us7000h0e1",2022-04-15 20:01:26,"southeast of the Loyalty Islands","earthquake",7.8,1.7,0.133,16,"reviewed","us","us","04/02/22 16:23:37",4,2,2022,59017,7921417
2022-04-02 12:32:54,-12.2799,167.2967,228.62,4,"mb",NA,182,3.149,0.29,"us","us7000h0dt",2022-04-30 09:16:12,"178 km N of Sola, Vanuatu","earthquake",7.1,11,0.129,17,"reviewed","us","us","04/02/22 12:32:54",4,2,2022,45174,7907574
2022-04-02 10:45:57,-22.6607,170.5361,9.1,5.5,"mww",NA,109,2.854,0.75,"us","us7000gz79",2022-04-29 11:44:27,"southeast of the Loyalty Islands","earthquake",2.5,4.2,0.068,21,"reviewed","us","us","04/02/22 10:45:57",4,2,2022,38757,7901157
2022-04-02 09:00:15,-22.0596,170.8108,10,4.4,"mb",NA,209,3.163,0.66,"us","us7000h0dr",2022-04-29 07:16:24,"southeast of the Loyalty Islands","earthquake",14.3,2,0.162,11,"reviewed","us","us","04/02/22 09:00:15",4,2,2022,32415,7894815
2022-04-02 08:14:51,-22.2317,170.0665,10,4.4,"mb",NA,154,2.453,0.87,"us","us7000h0dk",2022-04-16 13:17:37,"238 km ESE of Tadine, New Caledonia","earthquake",12.8,1.9,0.143,14,"reviewed","us","us","04/02/22 08:14:51",4,2,2022,29691,7892091
2022-04-02 04:44:13,-22.9186,170.4824,10,4.2,"mb",NA,106,2.818,1.08,"us","us7000h0dd",2022-04-07 22:18:47,"southeast of the Loyalty Islands","earthquake",9.3,1.7,0.263,4,"reviewed","us","us","04/02/22 04:44:13",4,2,2022,17053,7879453
2022-04-02 04:15:06,-22.8883,170.5266,22.16,5.6,"mww",NA,77,2.856,1.32,"us","us7000gz5q",2022-04-28 21:21:28,"southeast of the Loyalty Islands","earthquake",8.1,4.1,0.061,26,"reviewed","us","us","04/02/22 04:15:06",4,2,2022,15306,7877706
2022-04-01 16:01:14,-8.5479,159.0203,108.03,4.4,"mb",NA,67,1.273,0.91,"us","us7000gz24",2022-04-25 15:09:36,"77 km SW of Buala, Solomon Islands","earthquake",8.8,5.4,0.098,30,"reviewed","us","us","04/01/22 16:01:14",4,1,2022,57674,7833674
2022-04-01 13:05:18,-22.6,170.2659,16,5.5,"mww",NA,32,2.605,0.9,"us","us7000gyza",2022-04-15 08:31:49,"272 km ESE of Tadine, New Caledonia","earthquake",4.6,1.7,0.057,30,"reviewed","us","us","04/01/22 13:05:18",4,1,2022,47118,7823118
2022-04-01 10:48:49,-22.0415,171.2427,10,4,"mb",NA,81,3.56,0.39,"us","us7000h068",2022-04-28 11:56:45,"southeast of the Loyalty Islands","earthquake",9,1.9,0.298,3,"reviewed","us","us","04/01/22 10:48:49",4,1,2022,38929,7814929
2022-04-01 10:17:26,-22.651,170.9853,10,4.1,"mb",NA,148,3.269,0.51,"us","us7000h067",2022-04-28 12:08:42,"southeast of the Loyalty Islands","earthquake",9.7,1.9,0.233,5,"reviewed","us","us","04/01/22 10:17:26",4,1,2022,37046,7813046
